"index","bottlecode","wvl","abs"
439,"1188-16",638,0.0206
440,"1188-16",639,0.0205
441,"1188-16",640,0.0205
442,"1188-16",641,0.0205
443,"1188-16",642,0.0204
444,"1188-16",643,0.0204
445,"1188-16",644,0.0203
446,"1188-16",645,0.0204
447,"1188-16",646,0.0203
448,"1188-16",647,0.0202
449,"1188-16",648,0.0202
450,"1188-16",649,0.0202
451,"1188-16",650,0.0202
452,"1188-16",651,0.0201
453,"1188-16",652,0.0201
454,"1188-16",653,0.02
455,"1188-16",654,0.0201
456,"1188-16",655,0.0201
457,"1188-16",656,0.02
458,"1188-16",657,0.02
459,"1188-16",658,0.02
460,"1188-16",659,0.02
461,"1188-16",660,0.0201
462,"1188-16",661,0.0201
463,"1188-16",662,0.0201
464,"1188-16",663,0.0201
465,"1188-16",664,0.0202
466,"1188-16",665,0.0202
467,"1188-16",666,0.0202
468,"1188-16",667,0.0201
469,"1188-16",668,0.02
470,"1188-16",669,0.0199
471,"1188-16",670,0.0198
472,"1188-16",671,0.0197
473,"1188-16",672,0.0196
474,"1188-16",673,0.0195
475,"1188-16",674,0.0195
476,"1188-16",675,0.0195
477,"1188-16",676,0.0195
478,"1188-16",677,0.0195
479,"1188-16",678,0.0195
480,"1188-16",679,0.0194
481,"1188-16",680,0.0194
482,"1188-16",681,0.0193
483,"1188-16",682,0.0192
484,"1188-16",683,0.0192
485,"1188-16",684,0.0191
486,"1188-16",685,0.019
487,"1188-16",686,0.0189
488,"1188-16",687,0.0188
489,"1188-16",688,0.0187
490,"1188-16",689,0.0186
491,"1188-16",690,0.0185
492,"1188-16",691,0.0185
493,"1188-16",692,0.0184
494,"1188-16",693,0.0183
495,"1188-16",694,0.0182
496,"1188-16",695,0.018
497,"1188-16",696,0.018
498,"1188-16",697,0.0179
499,"1188-16",698,0.0177
500,"1188-16",699,0.0176
501,"1188-16",700,0.0175
502,"1188-16",701,0.0174
503,"1188-16",702,0.0173
504,"1188-16",703,0.0172
505,"1188-16",704,0.017
506,"1188-16",705,0.017
507,"1188-16",706,0.0169
508,"1188-16",707,0.0168
509,"1188-16",708,0.0168
510,"1188-16",709,0.0168
511,"1188-16",710,0.0167
512,"1188-16",711,0.0167
513,"1188-16",712,0.0168
514,"1188-16",713,0.0168
515,"1188-16",714,0.0168
516,"1188-16",715,0.0168
517,"1188-16",716,0.0168
518,"1188-16",717,0.0167
519,"1188-16",718,0.0167
520,"1188-16",719,0.0167
521,"1188-16",720,0.0166
522,"1188-16",721,0.0166
523,"1188-16",722,0.0166
524,"1188-16",723,0.0165
525,"1188-16",724,0.0165
526,"1188-16",725,0.0165
527,"1188-16",726,0.0165
528,"1188-16",727,0.0165
529,"1188-16",728,0.0164
530,"1188-16",729,0.0164
531,"1188-16",730,0.0163
532,"1188-16",731,0.0162
533,"1188-16",732,0.0161
534,"1188-16",733,0.0161
535,"1188-16",734,0.016
536,"1188-16",735,0.016
537,"1188-16",736,0.0151
538,"1188-16",737,0.015
539,"1188-16",738,0.015
540,"1188-16",739,0.0149
541,"1188-16",740,0.0148
542,"1188-16",741,0.0148
543,"1188-16",742,0.0148
544,"1188-16",743,0.0148
545,"1188-16",744,0.0148
546,"1188-16",745,0.0147
547,"1188-16",746,0.0147
548,"1188-16",747,0.0147
549,"1188-16",748,0.0148
550,"1188-16",749,0.0148
551,"1188-16",750,0.0148
552,"1188-16",751,0.0148
553,"1188-16",752,0.0149
554,"1188-16",753,0.0149
555,"1188-16",754,0.0149
556,"1188-16",755,0.015
557,"1188-16",756,0.015
558,"1188-16",757,0.015
559,"1188-16",758,0.0151
560,"1188-16",759,0.0151
561,"1188-16",760,0.0151
562,"1188-16",761,0.0152
563,"1188-16",762,0.0152
564,"1188-16",763,0.0152
565,"1188-16",764,0.0152
566,"1188-16",765,0.0151
567,"1188-16",766,0.015
568,"1188-16",767,0.015
569,"1188-16",768,0.015
570,"1188-16",769,0.0149
571,"1188-16",770,0.0148
572,"1188-16",771,0.0147
573,"1188-16",772,0.0147
574,"1188-16",773,0.0146
575,"1188-16",774,0.0146
576,"1188-16",775,0.0146
577,"1188-16",776,0.0145
578,"1188-16",777,0.0145
579,"1188-16",778,0.0145
580,"1188-16",779,0.0144
581,"1188-16",780,0.0144
582,"1188-16",781,0.0144
583,"1188-16",782,0.0144
584,"1188-16",783,0.0144
585,"1188-16",784,0.0144
586,"1188-16",785,0.0144
587,"1188-16",786,0.0144
588,"1188-16",787,0.0143
589,"1188-16",788,0.0143
590,"1188-16",789,0.0143
591,"1188-16",790,0.0143
592,"1188-16",791,0.0143
593,"1188-16",792,0.0143
594,"1188-16",793,0.0143
595,"1188-16",794,0.0143
596,"1188-16",795,0.0142
597,"1188-16",796,0.0142
598,"1188-16",797,0.0142
599,"1188-16",798,0.0142
600,"1188-16",799,0.0142
601,"1188-16",800,0.0142
602,"1190-16",200,0.7367
603,"1190-16",201,0.65
604,"1190-16",202,0.6118
605,"1190-16",203,0.5763
606,"1190-16",204,0.5444
607,"1190-16",205,0.5204
608,"1190-16",206,0.4992
609,"1190-16",207,0.4817
610,"1190-16",208,0.4645
611,"1190-16",209,0.4478
612,"1190-16",210,0.4345
613,"1190-16",211,0.4213
614,"1190-16",212,0.4101
615,"1190-16",213,0.3979
616,"1190-16",214,0.3887
617,"1190-16",215,0.3786
618,"1190-16",216,0.37
619,"1190-16",217,0.3605
620,"1190-16",218,0.3523
621,"1190-16",219,0.3453
622,"1190-16",220,0.3376
623,"1190-16",221,0.3299
624,"1190-16",222,0.3236
625,"1190-16",223,0.3169
626,"1190-16",224,0.3109
627,"1190-16",225,0.305
